paper_id,title,doi,final_priority_label,attempt_order,selected_url,url_source,fetch_status,http_status,content_type,local_path,has_text_content,usable_for_extraction,fetch_notes
paper_0078,A Plate-Type Anodic Alumina Supported Nickel Catalyst for Methane Steam Reforming,10.1252/jcej.07we182,top_priority,1,https://www.jstage.jst.go.jp/article/jcej/41/2/41_07WE182/_article,doi_landing,success,200,text/html;charset=utf-8,outputs\fulltext\paper_0078.html,yes,yes,fetched_content_saved
paper_0079,"A novel catalyst with plate-type anodic alumina supports, Ni/NiAl2O4/γ-Al2O3/alloy, for steam reforming of methane",10.1016/j.apcata.2008.06.007,top_priority,2,https://linkinghub.elsevier.com/retrieve/pii/S0926860X08003608,doi_landing,success,200,text/html;charset=UTF-8,outputs\fulltext\paper_0079.html,yes,yes,fetched_content_saved
paper_0093,Ni@SiO<sub>2</sub>yolk-shell nanoreactor catalysts: High temperature stability and recyclability,10.1039/b918446e,top_priority,3,https://pubs.rsc.org/en/content/articlelanding/2010/jm/b918446e,doi_landing,success,200,text/html; charset=utf-8,outputs\fulltext\paper_0093.html,yes,yes,fetched_content_saved
paper_0128,Perovskite NaCeTi<sub>2</sub>O<sub>6</sub>‐Supported Ni Catalysts for CH<sub>4</sub> Steam Reforming,10.1002/cctc.201200239,top_priority,4,,,failed,,,,no,no,doi_landing:403
paper_0138,Ni-Based Catalysts for Low Temperature Methane Steam Reforming: Recent Results on Ni-Au and Comparison with Other Bi-Metallic Systems,10.3390/catal3020563,top_priority,5,,,failed,,,,no,no,doi_landing:403
paper_0143,Methane Steam Reforming over a Ni/NiAl<sub>2</sub>O<sub>4</sub> Model Catalyst—Kinetics,10.1002/cctc.201402017,top_priority,6,,,failed,,,,no,no,doi_landing:403
paper_0171,Dual‐Function Cobalt–Nickel Nanoparticles Tailored for High‐Temperature Induction‐Heated Steam Methane Reforming,10.1002/anie.201804832,top_priority,7,,,failed,,,,no,no,doi_landing:403
paper_0179,Hydrogen Production via Low-Temperature Steam–Methane Reforming Using Ni–CeO<sub>2</sub>–Al<sub>2</sub>O<sub>3</sub> Hybrid Nanoparticle Clusters as Catalysts,10.1021/acsaem.9b01444,top_priority,8,,,failed,,,,no,no,doi_landing:403
paper_0194,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,10.1039/d0ta11359j,top_priority,9,https://pubs.rsc.org/en/content/articlelanding/2021/ta/d0ta11359j,doi_landing,success,200,text/html; charset=utf-8,outputs\fulltext\paper_0194.html,yes,yes,fetched_content_saved
paper_0203,Hydrogen-Rich Syngas Production via Dry and Steam Reforming of Methane in Simulated Producer Gas over ZSM-5-Supported Trimetallic Catalysts,10.3390/en16227518,top_priority,10,,,failed,,,,no,no,doi_landing:403
paper_0220,"Structural Changes of Ni and Ni–Pt Methane Steam Reforming Catalysts During Activation, Reaction, and Deactivation Under Dynamic Reaction Conditions",10.1021/acscatal.3c05847,top_priority,11,,,failed,,,,no,no,doi_landing:403
paper_0221,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",10.1016/j.fuproc.2025.108325,top_priority,12,https://linkinghub.elsevier.com/retrieve/pii/S0378382025001493,doi_landing,success,200,text/html;charset=UTF-8,outputs\fulltext\paper_0221.html,yes,yes,fetched_content_saved
paper_0002,Mechanism of the steam reforming of methane over a coprecipitated nickel-alumina catalyst,10.1039/f19736900010,top_priority,13,https://pubs.rsc.org/en/content/articlelanding/1973/f1/f19736900010,doi_landing,success,200,text/html; charset=utf-8,outputs\fulltext\paper_0002.html,yes,yes,fetched_content_saved
paper_0159,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,10.1016/j.ijhydene.2016.05.109,top_priority,14,https://linkinghub.elsevier.com/retrieve/pii/S0360319916315506,doi_landing,success,200,text/html;charset=UTF-8,outputs\fulltext\paper_0159.html,yes,yes,fetched_content_saved
paper_0166,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,10.1016/j.ijhydene.2017.06.096,top_priority,15,https://linkinghub.elsevier.com/retrieve/pii/S0360319917324084,doi_landing,success,200,text/html;charset=UTF-8,outputs\fulltext\paper_0166.html,yes,yes,fetched_content_saved
paper_0080,Effect of Ce<sub><i>x</i></sub>Zr<sub>1-<i>x</i></sub>O<sub>2</sub> Promoter on Ni-Based SBA-15 Catalyst for Steam Reforming of Methane,10.1021/ef800553b,top_priority,16,,,failed,,,,no,no,doi_landing:403
paper_0119,Progresses in the Preparation of Coke Resistant Ni‐based Catalyst for Steam and CO<sub>2</sub> Reforming of Methane,10.1002/cctc.201000358,top_priority,17,,,failed,,,,no,no,doi_landing:403
paper_0023,Simultaneous Carbon Dioxide and Steam Reforming of Methane to Syngas over NiO−CaO Catalyst,10.1021/ie960002l,top_priority,18,,,failed,,,,no,no,doi_landing:403
paper_0046,Steam reforming of methane and water‐gas shift in catalytic wall reactors,10.1002/aic.690490518,top_priority,19,,,failed,,,,no,no,doi_landing:403
paper_0047,Steam reforming of methane over nickel catalysts at low reaction temperature,10.1016/j.apcata.2003.08.009,top_priority,20,https://linkinghub.elsevier.com/retrieve/pii/S0926860X03007270,doi_landing,success,200,text/html;charset=UTF-8,outputs\fulltext\paper_0047.html,yes,yes,fetched_content_saved
