paper_id,title,journal,journal_impact_factor,likely_ni_based,final_priority_label,priority_score,extraction_confidence,manual_review_required,human_sample_review_flag,analysis_ready_flag,freeze_recommendation,key_condition_count,key_performance_count,core_identity_count
paper_0221,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",Fuel Processing Technology,7.7,yes,top_priority,91.0,low_to_medium,yes,yes,no,needs_more_review,0,0,3
paper_0194,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,Journal of Materials Chemistry A,9.5,yes,top_priority,91.0,low,yes,yes,no,needs_more_review,0,0,2
paper_0101,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,Applied Catalysis B: Environmental,21.1,yes,top_priority,88.5,low,yes,yes,no,needs_more_review,0,0,2
paper_0166,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,International Journal of Hydrogen Energy,8.3,yes,top_priority,88.0,low,yes,yes,no,needs_more_review,0,0,3
paper_0159,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,International Journal of Hydrogen Energy,8.3,yes,top_priority,88.0,low,yes,yes,no,needs_more_review,0,0,3
paper_0180,Hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified SiC,International Journal of Hydrogen Energy,8.3,yes,top_priority,84.0,low,yes,yes,no,needs_more_review,0,0,3
paper_0150,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,International Journal of Hydrogen Energy,8.3,yes,top_priority,84.0,low,yes,yes,no,needs_more_review,0,0,2
paper_0157,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,Fuel,7.5,yes,top_priority,81.0,low,yes,yes,no,needs_more_review,0,0,2
paper_0124,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,Chemical Engineering Journal,13.2,no,medium_priority,85.5,low,yes,yes,no,needs_more_review,0,0,1
paper_0191,Supported catalysts for induction-heated steam reforming of methane,International Journal of Hydrogen Energy,8.3,no,medium_priority,85.0,low_to_medium,yes,yes,no,needs_more_review,1,0,3
paper_0202,"Hydrogen production by steam reforming of methane over hollow, bulk, and co-precipitated Ni–Ce–Al2O3 catalysts: Optimization via design of experiments",Journal of the Energy Institute,6.2,no,medium_priority,78.0,low,yes,yes,no,needs_more_review,0,0,3
paper_0193,Ultracompact methane steam reforming reactor based on microwaves susceptible structured catalysts for distributed hydrogen production,International Journal of Hydrogen Energy,8.3,no,medium_priority,78.0,low,yes,yes,no,needs_more_review,0,0,0
paper_0099,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,International Journal of Hydrogen Energy,8.3,no,medium_priority,78.0,low,yes,yes,no,needs_more_review,0,0,2
paper_0007,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,Journal of Catalysis,6.5,no,medium_priority,78.0,low,yes,yes,no,needs_more_review,0,0,3
